1,2123,2 generation,2013,2019,1
4,7,2 generation,2001,2003,1
8,9,1 generation,1991,2002,1
11,11,3 generation,2013,2019,1
12,11,2 generation,2006,2009,1
13,11,1 generation,2001,2006,1
14,13,2 generation,2012,2019,1
15,13,1 generation,2006,2010,1
16,14,KB1,2004,2008,1
18,18,4 generation,2008,2011,1
19,18,3 generation,2003,2008,1
20,18,2 generation,1998,2003,1
21,18,1 generation,1995,1998,1
22,19,2 generation,2008,2010,1
23,19,1 generation,2003,2008,1
28,28,936,1998,2007,1
29,29,907,1990,1994,1
35,40,116,1977,1981,1
36,47,939,2006,2010,1
37,47,916,1995,2006,1
38,47,115,1990,1993,1
43,63,1 generation [restyling],2008,2012,1
46,67,1 generation [restyling],2013,2019,1
47,67,1 generation,2009,2012,1
48,69,2 generation,2012,2019,1
49,69,1 generation,2001,2007,1
53,74,1 generation,2011,2012,1
54,78,8C/B4,1991,1996,1
55,78,8A/B3,1986,1991,1
56,78,B2,1978,1986,1
57,78,B1 [restyling],NULL,NULL,1
59,82,8V,2012,2016,1
61,82,8P,2003,2005,1
62,84,B8/8K [restyling],2011,2016,1
63,84,B8/8K,2007,2011,1
64,84,B7,2004,2008,1
65,84,B6,2000,2005,1
66,84,B5 [restyling],1997,2001,1
68,85,8T [restyling],2011,2016,1
71,86,4B/C5,2000,2005,1
72,89,D4/4H [restyling],2013,2018,1
73,89,D4/4H,2010,2014,1
74,89,D2/4D [restyling],1999,2002,1
75,89,D2/4D,1994,1999,1
76,97,2 generation,2015,2019,1
77,97,1 generation [restyling],2012,2015,1
78,101,B8,2012,2019,1
79,101,B7,2005,2008,1
80,101,B5,2000,2001,1
81,103,C7,2013,2014,1
82,103,C6,2008,2010,1
83,103,C5,2002,2004,1
86,107,8V,2013,2016,1
87,107,8P/8PA [restyling],2008,2012,1
88,107,8L,1999,2001,1
89,109,8T [restyling],2012,2016,1
90,109,8T,2008,2011,1
91,110,C7,2012,2014,1
92,110,C6,2006,2008,1
94,110,C5,1999,2004,1
95,112,D4 [restyling],2013,2018,1
96,112,D4,2012,2013,1
97,112,D3,2005,2008,1
98,112,D2,1996,1999,1
99,114,8J,2006,2010,1
100,114,8J [restyling],2010,2014,1
106,128,2 generation,2002,2009,1
107,128,1 generation,1998,2002,1
108,130,2 generation,2008,2011,1
109,130,1 generation,1994,1998,1
135,152,E84 [restyling],2012,2015,1
136,152,E84,2009,2012,1
137,153,F25 [restyling],2014,2017,1
138,153,F25,2010,2015,1
139,153,E83,2003,2006,1
140,155,F15,2013,2018,1
141,155,E70 [restyling],2010,2013,1
142,155,E70,2006,2010,1
143,155,E53,1999,2003,1
144,156,F16,2014,2019,1
145,156,E71 [restyling],2012,2015,1
146,156,E71/E72,2008,2012,1
148,159,E89,2009,2016,1
149,159,E85,2002,2005,1
174,173,1 generation [restyling],2009,2019,1
175,173,1 generation,2005,2009,1
176,174,2 generation,2008,2010,1
178,177,3 generation,2000,2019,1
179,177,2 generation,1997,2000,1
182,185,6 generation,1997,2005,1
183,185,5 generation,1982,1996,1
186,188,2 generation,2010,2016,1
188,189,2 generation,2000,2011,1
191,190,1 generation,2007,2009,1
193,191,8 generation,1992,1999,1
194,191,7 generation,1992,1999,1
195,191,6 generation,1986,1991,1
