1440,1072,8262,SUV,1
1456,1084,8269,Roadster,1
1457,1085,8270,Roadster,1
1458,1086,8271,Coupe,1
1459,1087,8272,Coupe,1
1460,1088,8273,Sedan,1
1465,1092,8277,Sedan,1
1469,1095,8280,Minivan,1
1524,1134,7290,Coupe,1
1525,1135,7291,Crossover,1
1526,1136,7292,Custom Style hatchback 5-doors,1
1530,1138,8304,Minivan,1
1531,1139,6989,Minivan,1
1533,1141,7293,Double Cab pickup 4-doors,1
1537,1144,8305,Sedan,1
1539,1146,7294,Crossover,1
1546,1153,7300,Sedan,1
1548,1155,7302,Coupe,1
1556,1162,7303,Coupe,1
1558,1164,7304,Coupe,1
1559,1165,8308,SUV,1
1564,1169,7305,Marvie SUV,1
1571,1175,8311,Minivan,1
1573,1177,8312,Hatchback,1
1575,1179,8313,Hatchback,1
1580,1183,8316,Hatchback,1
1581,1184,7307,Coupe,1
1582,1185,8317,Coupe,1
1616,1209,8319,Minivan,1
1636,1221,8326,Sedan,1
1637,1222,8327,Sedan,1
1638,1223,8328,Minivan,1
1640,1225,8329,Sedan,1
1647,1230,7330,Hatchback,1
1649,1232,8336,Cross hatchback 5-doors,1
1650,1233,8338,Sedan,1
1651,1234,7333,Hatchback,1
1652,1235,8341,Sedan,1
1655,1237,8342,Cabriolet,1
1662,1243,8348,Cabriolet,1
1678,1254,7337,Cabriolet,1
1713,1273,8366,Sedan,1
1716,1276,8368,Minivan,1
1722,1281,8371,Crossover,1
1724,1283,8372,Coupe,1
1726,1285,8373,Minivan,1
1728,1287,8377,Hatchback,1
1729,1288,7339,Hatchback,1
1738,1294,8378,wagon,1
1752,1303,7342,SUV,1
1758,1308,8385,Sedan,1
1764,1313,7343,Minivan,1
1770,1319,7346,Minivan,1
1796,1342,7356,Cabriolet,1
1802,1346,8398,Coupe,1
1803,1347,8399,Coupe,1
1805,1349,8400,Coupe,1
1813,1355,7357,Sedan,1
1817,1359,8403,SUV,1
1819,1361,8404,Minivan,1
1820,1362,7360,Canvas top hatchback 3-doors,1
1828,1370,8406,Sedan,1
1831,1373,10475,Crossover,1
1833,1375,8409,wagon 5-doors,1
1836,1377,8410,Roadster,1
1839,1380,7361,Coupe,1
1841,1382,8412,Highway Star minivan,1
1843,1384,8413,Highway Star Touring minivan 5-doors,1
1845,1386,8414,Hatchback,1
1847,1388,8415,Minivan,1
1848,1389,6857,Coupe,1
1867,1402,8420,Canvas top hatchback 3-doors,1
1870,1405,8421,Hatchback,1
1871,1406,7363,Coupe,1
1889,1417,8426,Sedan,1
1896,1424,8429,Hatchback,1
1905,1428,8432,Coupe,1
1909,1430,8434,Cabriolet,1
1931,1441,8436,Crossover,1
1934,1443,8437,GSE Coupe 3-doors,1
1940,1447,6890,Hatchback,1
1941,1448,8438,Minivan,1
1942,1449,8439,Turbo targa 2-doors,1
1957,1458,8443,Roadster,1
1960,1461,8446,Hatchback,1
1962,1463,8448,Minivan,1
1992,1478,8461,Sedan,1
2011,1485,8468,Crossover,1
2012,1486,8469,Crossover,1
2021,1490,8473,Sedan,1
2022,1491,6698,Minivan,1
2033,1496,8478,Sedan,1
2034,1497,6894,Sedan,1
2035,1498,8479,Minivan,1
2041,1504,8482,Sedan,1
2042,1505,8483,Sedan,1
2045,1507,8485,Coupe,1
2056,1514,7368,Crossover,1
2086,1533,8508,Crossover,1
2095,1540,8515,Coupe,1
2102,1545,7373,targa,1
2105,1548,8519,Crossover,1
2107,1550,8520,Sedan,1
2112,1555,8524,Minivan,1
2113,1556,8525,Sedan,1
2130,1568,8532,Cabriolet 2-doors,1
2136,1572,8535,Hatchback,1
2137,1573,8536,Coupe,1
2138,1574,8537,Hatchback,1
2139,1575,8538,Coupe,1
2143,1578,8540,Hatchback,1
2147,1580,8542,Liftback,1
2148,1581,8543,Hatchback,1
2154,1584,8545,Hatchback,1
2155,1585,8546,Sedan,1
2156,1586,8547,Minivan,1
2164,1593,8549,Coupe,1
2181,1605,7376,Cabriolet,1
2184,1608,8555,Coupe 2-doors,1
2185,1609,6678,Hatchback,1
2186,1610,8556,Roadster,1
2187,1611,8557,Hatchback,1
2190,1614,7379,Sedan,1
2192,1616,7380,Sedan,1
2193,1617,7381,Sedan,1
2200,1622,7389,Roadster,1
2212,1628,8561,Sedan,1
2225,1635,7390,wagon,1
2232,1639,7395,SUV,1
2233,1640,8569,Sedan,1
2239,1643,8571,wagon,1
2240,1644,8572,Sedan,1
2243,1646,8574,Coupe,1
2249,1649,8576,Sedan,1
2254,1653,8580,Crossover,1
2255,1654,8581,Minivan,1
2257,1656,8582,Cabriolet,1
2261,1660,7397,Coupe,1
2262,1661,7398,Hatchback,1
2264,1663,8583,Hatchback,1
2266,1665,8584,Hatchback,1
2283,1675,8595,Sedan,1
2284,1676,8596,Hatchback,1
2288,1680,8599,Crossover,1
2303,1688,6959,Scout minivan 5-doors,1
2310,1693,8610,Roadster,1
2311,1694,8611,Sedan,1
2312,1695,8612,Coupe,1
2322,1703,7400,SUV,1
2330,1709,7402,Minivan,1
2332,1711,8615,Pickup,1
2333,1712,8616,Coupe,1
2334,1713,8617,Hatchback,1
2336,1715,8618,Minivan,1
